问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
1275 、操作机床时，为防止切屑伤手，可以戴手套。,错误,A、正确,B、错误
1276 、实验室应配备相应的消防器材。参加实验人员要熟悉其存放位置及使用方法并掌握有关的灭火知识。,正确,A、正确,B、错误
1277 、上网信息的保密管理坚持“谁上网谁负责”的原则。,正确,A、正确,B、错误
1278 、在实验室内一切有可能产生毒性蒸气的工作必须在通风橱中进行，并有良好的排风设备,正确,A、正确,B、错误
1279 、实验仪器使用时要有人在场，不得擅自离开。,正确,A、正确,B、错误
1280 、有毒实验废弃物应明确专人负责，使用专用容器和醒目标识，将重金属、氰化物、溴化乙啶（EB）及其结合物进行分类收集，专人管理，定期回收，统一处理。,正确,A、正确,B、错误
1281 、各实验室在运送化学废弃物到各校区临时收集中转仓库之前，不得堆放在走廊、过道以及其它公共区域,正确,A、正确,B、错误
1282 、比较常见的引起呼吸道中毒的物质，一般是易挥发的有机溶剂（如：乙醚、丙酮、甲苯等）或化学反应所产生的有毒气体（如：氰化氢、氯气、一氧化碳等）,正确,A、正确,B、错误
1283 、一定强度的电场，磁场，电磁场不都是对人有损害。,错误,A、正确,B、错误
1284 、实验室常用的灭火方法：用水灭火、砂土灭火、灭火器。,正确,A、正确,B、错误
1285 、为避免线路负荷过大，而引起火灾，功率1000瓦以上的设备不得共用一个接线板。,正确,A、正确,B、错误
1286 、在微生物实验中，一定要有“有菌观念”和“无菌操作意识”，操作中一定要按正确的程序严格无菌操作，一方面避免感染，另一方面加强自我防护。,正确,A、正确,B、错误
1287 、教师应学习研究有关实验室安全的知识，同时在理论教学和实验中对学生进行安全知识教育、教会学生如何正确使用实验设备和实验操作，教会学生在突发事故发生时如何自我保护、相互救援、安全撤离。,正确,A、正确,B、错误
1288 、可以用手拿工件进行磨削。,错误,A、正确,B、错误
1289 、实验废弃物应分类存放，及时送学校废弃物中转站，最后由学校联系有资质的公司进行处理。,正确,A、正确,B、错误
1290 、夏季天气热时可以在实验室内穿露有脚趾的鞋,错误,A、正确,B、错误
1291 、电气设备发生火灾时，应注意：1.电气设备可能带电，可能发生触电事故；2.某些电气设备充有大量的油，可能发生喷油甚至爆炸。,正确,A、正确,B、错误
1292 、在确保线切割机床正常时方可操作机床，如果对机床的某个运动部分的安全性有怀疑，应立即停机检查。,正确,A、正确,B、错误
1293 、水处理实验常用到大功率空压机，在工作时会产生较大的噪音，长期安装在离工作人员较近的地方，会造成听觉敏感性下降，甚至永久性耳聋,正确,A、正确,B、错误
1294 、使用光学仪器时要小心操作，注意不要用手触摸光学镜面，避免划伤光学镜头或镜面。,正确,A、正确,B、错误
1295 、当移液器吸头中含有液体时，可以将移液器水平放置。,错误,A、正确,B、错误
1296 、实验室安全与卫生检查内容主要包括实验室布置、卫生、水电安全、冰箱与烘箱使用管理、危险品使用与保管、化学与生物废弃物（气、液、固态物）的处置、排污管理、气体钢瓶安全、放射性安全等。,正确,A、正确,B、错误
1297 、、发生各类案件时应立即报案，妥善保护案发现场，若有人受伤，在救人时应尽可能记住现场破坏前的情况（如手机拍照等）,正确,A、正确,B、错误
1298 、加强对实验动物管理工作，防止人畜共患病和动物传染病的发生，是搞好生物安全管理工作的根本目标。,正确,A、正确,B、错误
1299 、在潮湿或高温或有导电灰尘的场所，实验时应该降低电压供电,正确,A、正确,B、错误
"1300 、身上着火后,应迅速用灭火器灭火",错误,A、正确,B、错误
1301 、接电路元器件时，主要应关注元器件的耐压和能承受的功率。,正确,A、正确,B、错误
1302 、送电时投入隔离开关的顺序是先合母线侧、后合线路侧,正确,A、正确,B、错误
1303 、化学危险物品，是指中华人民共和国国家标准GB-86《危险货物分类与品名编号》规定的分类标准中的爆炸品、压缩气体和液化气体、易燃液体、易燃固体、自燃物品和遇湿易燃物品、氧化剂和有机过氧化物、毒害品和腐蚀品七大类。,正确,A、正确,B、错误
1304 、由于金属络合剂能与毒物中的金属离子形成稳定的化合物，随尿液排出体外，故发生金属及其盐类中毒时，可采用各种金属络合剂解毒,正确,A、正确,B、错误
1305 、对于氢氧化钠、氨水等废液可以进行如下处理：用6mol/L盐酸水溶液中和，再用大量水冲洗,正确,A、正确,B、错误
1306 、锉削时，禁止使用没有装手柄或手柄裂开的锉刀，也不可将锉刀当作拆卸工具或锤子使用。,正确,A、正确,B、错误
1307 、使用摇臂钻床时，不得在摇臂钻床的横臂及工作台上堆放物件。,正确,A、正确,B、错误
1308 、高校实验室科研教学活动中产生和排放的废气、废液、固体废物、噪声、放射性等污染物，应按环境保护行政主管部门的要求进行申报登记、收集、运输和处置。严禁把废气、废液、废渣和废弃化学品等污染物直接向外界排放。,正确,A、正确,B、错误
1309 、当可燃烧液体呈流淌状燃烧时，应将灭火剂的喷流对准火焰根部由近而远并左右扫射，向前快速推进，直至火焰扑灭,正确,A、正确,B、错误
1310 、一定程度的电场，磁场，电磁场都可能对人有损害。,正确,A、正确,B、错误
1311 、保险丝断了，可以用细铜丝代替。,错误,A、正确,B、错误
1312 、损坏了仪器、设备必须立即向教师报告。,正确,A、正确,B、错误
1313 、每天下班前检查实验室的门、窗是否被关好，电气线路、通风设备、饮水设施等是否已切断电源。,正确,A、正确,B、错误
1314 、实验中遇到一般割伤，应立即取出伤口内的异物，保持伤口干净，并用酒精棉清除伤口周围的污物，涂上外伤膏或消炎粉。,正确,A、正确,B、错误
1315 、在扑灭电气火灾的明火时，用气体灭火器扑灭。,正确,A、正确,B、错误
1316 、出现肌肉痉挛（抽筋），常见的缓解法是拉长痉挛的肌肉，同时配合局部按摩和点压穴位等方法促进缓解。,正确,A、正确,B、错误
1317 、不准在车间打闹，不准随意攀登吊车、墙梯或者其它设备，但可以在吊车吊运物体运行线上行走或停留。,错误,A、正确,B、错误
1318 、爆炸是指物质瞬间突然发生物理变化，同时释放出大量的气体和能量（光能、热能、机械能）并伴有巨大声响的现象。,错误,A、正确,B、错误
1319 、为方便进出专人管理的设备房间，可自行配制钥匙。,错误,A、正确,B、错误
1320 、实验室人员发生触电时，应迅速切断电源，将触电者上衣解开，取出口中异物，然后进行人工呼吸。当患者恢复呼吸时，应立即送医院,正确,A、正确,B、错误
1321 、CO经呼吸道进入血液后，立即与血红蛋白结合形成碳氧血红蛋白，CO与血红蛋白的亲和力比氧大，致使血携氧能力下降，同时碳氧血红蛋白的解离速度却比氧合血红蛋白的解离慢3600倍，且碳氧血红蛋白的存在影响氧合血红蛋白的解离，阻碍了氧的释放，导致低氧血症，引起组织缺氧,正确,A、正确,B、错误
1322 、未经允许不得随意拆卸实验仪器和设备。,正确,A、正确,B、错误
1323 、乙醇水溶液浓度越高，其杀菌活性越强。,错误,A、正确,B、错误
1324 、锻造实习期间要穿好工作服、工作鞋。,正确,A、正确,B、错误
1325 、早晨、中饭、晚上等几个人员稀少的时间段，要特别注意随手关门，确保实验室财产和个人物品的安全,正确,A、正确,B、错误
1326 、要加强实验室排污处理装置（系统）的建设和管理，做到达标排放。实验废弃物不得倒入自来水下水道或普通垃圾箱等处。,正确,A、正确,B、错误
1327 、当发生强碱溅洒事故时，应用固体硼酸粉撒盖溅洒区，扫净并报告有关工作人员,正确,A、正确,B、错误
1328 、对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须设置危险废物识别标志,正确,A、正确,B、错误
1329 、易燃、易爆气体和助燃气体（氧气等）的钢瓶不得混放在一起，并应远离热源和火源，保持通风。,正确,A、正确,B、错误
1330 、因处理废液费用很高，应将无毒无害试剂与有毒有害试剂分开处理，例如稀HAc、H2SO4、HCL、NaOH、KOH等溶液可进行中和处理,正确,A、正确,B、错误
1331 、锻造操作前必须检查设备及工具，当工具开裂及铆钉松动时，不准使用。,正确,A、正确,B、错误
1332 、误吸入煤气等有毒气体时，应立即在室外呼吸新鲜空气,正确,A、正确,B、错误
1333 、各单位不得私自购买、运输剧毒物品,正确,A、正确,B、错误
1334 、实验过程中长时间使用恒温水浴锅时，应注意及时加水，避免干烧发生危险,正确,A、正确,B、错误
1335 、实验室内彼此保持安静，不得进行娱乐活动。,正确,A、正确,B、错误
"1336 、对于含汞、砷、锑、铋等离子的废液,实验室可以先进行如下处理：控制酸度0.3mol/L[H+]，使其生成硫化物沉淀",正确,A、正确,B、错误
1337 、人体触电致死，是由于肝脏受到严重伤害。,错误,A、正确,B、错误
"1338 、误吸入溴蒸气、氯气等有毒气体时，立即吸入少量酒精和乙醚的混合蒸气，以便解毒,同时应到室外呼吸新鲜空气，再送医院",正确,A、正确,B、错误
1339 、购买放射源、同位素试剂和射线装置时，应首先向学校辐射安全管理委员会办公室（设在实验室与设备管理处）提出申请，经审核同意后，向政府环境主管部门办理“准购证”，方能委托采购部门进行采购,正确,A、正确,B、错误
1340 、长时间使用酒精灯时，为避免酒精燃烧耗尽，可以将酒精加满来延长使用时间,错误,A、正确,B、错误
1341 、发现被盗或人为破坏，应保护现场并立即报告保卫处。,正确,A、正确,B、错误
1342 、火灾发生后，穿过浓烟逃生时，必须尽量贴近地面，并用湿毛巾捂住口鼻。,正确,A、正确,B、错误
1343 、在有爆炸和火灾危险场所使用手持式或移动式电动工具时，必须采用有防爆措施的电动工具。,正确,A、正确,B、错误
1344 、实验中遇到一般割伤，应立即取出伤口内的异物，保持伤口干净，并用酒精棉清除伤口周围的污物，涂上外伤膏或消炎粉。,正确,A、正确,B、错误
1345 、装有易燃液体的器皿可置于日光下,错误,A、正确,B、错误
1346 、急救时伤口包扎越紧越好。,错误,A、正确,B、错误
1347 、实验室安全与卫生检查内容主要包括实验室布置、卫生、水电安全、冰箱与烘箱使用管理、危险品使用与保管、化学与生物废弃物（气、液、固态物）的处置、排污管理、气体钢瓶安全、放射性安全等。,正确,A、正确,B、错误
1348 、造型期间，在舂实砂型过程中手要离开砂箱，避免砸手。,正确,A、正确,B、错误
1349 、当断线落地或大电流从接地装置流入大地时，若人站在附近则可能在两脚之间产生跨步电压。,正确,A、正确,B、错误
1350 、当断线落地或大电流从接地装置流入大地时，若人站在附近则可能在两脚之间产生跨步电压。,正确,A、正确,B、错误
1351 、当气体保护电弧焊采用水冷电极时，因冷却水无污染；可选择直排水的方式进行水冷。,错误,A、正确,B、错误
1352 、实验中产生的废液、废物应分类集中处理，不得任意排放；对未知废料不得任意混合。酸、碱或有毒物品溅落时，应及时清理及除毒,正确,A、正确,B、错误
1353 、工作人员在进入BSL-2以上级别实验室工作区前，应在专用的更衣室（或缓冲间）穿着背开式工作服或其他防护服。工作完毕必须脱下工作服，不得穿工作服离开实验室。可再次使用的工作服必须先消毒后清洗。,正确,A、正确,B、错误
1354 、冲小工件时，不得用手送，应使用专用工具。,正确,A、正确,B、错误
1355 、仪器设备开机前要先阅读熟悉该机器设备的操作规程。,正确,A、正确,B、错误
1356 、任何电气设备在未验明无电时，一律认为有电，不能盲目触及。,正确,A、正确,B、错误
1357 、可以在粉尘操作区饮食及吸烟。,错误,A、正确,B、错误
1358 、高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶。,错误,A、正确,B、错误
1359 、CO经呼吸道进入血液后，立即与血红蛋白结合形成碳氧血红蛋白，CO与血红蛋白的亲和力比氧大，致使血携氧能力下降，同时碳氧血红蛋白的解离速度却比氧合血红蛋白的解离慢3600倍，且碳氧血红蛋白的存在影响氧合血红蛋白的解离，阻碍了氧的释放，导致低氧血症，引起组织缺氧,正确,A、正确,B、错误
1360 、收集、贮存危险废物，必须按照危险废物特性分类进行。禁止混合收集、贮存、运输、处置性质不相容而未经安全性处置的危险废物,正确,A、正确,B、错误
1361 、操作车床时，不准用手摸旋转的工件，不准度量旋转的工件。,正确,A、正确,B、错误
1362 、只要插线板质量符合要求，就可以随意串联很多个，不影响使用。,正确,A、正确,B、错误
1363 、在清洁、维修线切割机床时，应先断电并确保无人能开启机床后，方可进行。,正确,A、正确,B、错误
1364 、实验大楼出现火情时千万不要乘电梯，因为电梯可能因停电或失控，同时又因“烟囱效应”，电梯井常常成为浓烟的流通道。,正确,A、正确,B、错误
1365 、Ⅴ类放射源为极低危险源。不会对人造成永久性损伤,正确,A、正确,B、错误
1366 、实验室钥匙的配发由实验室负责人管理，不得私自配置钥匙或借给他人使用。,正确,A、正确,B、错误
1367 、据统计，火灾中死亡的人有80%以上属于烟气窒息致死,正确,A、正确,B、错误
1368 、二氧化碳灭火器使用不当，可能会造成冻伤。,正确,A、正确,B、错误
1369 、存有易燃易爆危险品的实验室禁止使用明火。,正确,A、正确,B、错误
1370 、放射性实验室允许带与实验无关的人员进实验室,错误,A、正确,B、错误
1371 、实验室必须配备符合本室要求的消防器材，消防器材要放置在明显或便于拿取的位置。严禁任何人以任何借口把消防器材移作它用。,正确,A、正确,B、错误
1372 、气焊与气割操作时要正确选择和调整好气体减压器的工作压力。,正确,A、正确,B、错误
"1373 、剧毒品管理应严格遵守“五双” 制度(即""双人保管、双人收发、双人使用、双人运输、双人双锁"")，精确计量和记录剧毒品的使用情况，防止被盗、丢失、误领、误用。如发现问题应立即报告保卫处、实验室与设备管理处和当地公安部门",正确,A、正确,B、错误
1374 、因处理废液费用很高，应将无毒无害试剂与有毒有害试剂分开处理，例如稀HAc、H2SO4、HCL、NaOH、KOH等溶液可进行中和处理,正确,A、正确,B、错误
1375 、移动某些非固定安装的电气设备时(如电风扇，照明灯)，可以不必切断电源。,错误,A、正确,B、错误
1376 、胸外心脏挤压法：救护者跪在触电者一侧或骑跪在其腰部两侧，两手相迭，手掌根部放在伤者心窝上方、胸骨下，掌根用力垂直向下挤压，压出心脏里面的血液，挤压后迅速松开，胸部自动复原，血液充满心脏，以每分钟60次速度进行。,正确,A、正确,B、错误
"1377 、布线时,强、弱电可以合用同一电缆管线",错误,A、正确,B、错误
1378 、因吸入少量氯气、溴蒸气而中毒，可用碳酸氢钠溶液漱口，不可进行人工呼吸。,正确,A、正确,B、错误
1379 、在触电现场，若触电者已经没有呼吸或脉搏，此时可以判定触电者已经死亡，可以放弃抢救,错误,A、正确,B、错误
1380 、使用电力仪器和设备，在输入输出电压相符的情况下，方可接通电源按规程使用，工作结束立即切断电源，防止事故发生。,正确,A、正确,B、错误
1381 、电气设备发生火灾时，应注意：1.电气设备可能带电，可能发生触电事故；2.某些电气设备充有大量的油，可能发生喷油甚至爆炸。,正确,A、正确,B、错误
1382 、锻造过程中，不要站立在容易飞出火星和锻件毛边的地方。,正确,A、正确,B、错误
1383 、危险物质用惰性溶剂稀释后比较安全，该溶液若洒到布上，待溶剂蒸发变干后可以再使用,错误,A、正确,B、错误
1384 、护送病人时，应取掉口中异物，采用平卧位，头部稍低，保持呼吸畅通。,正确,A、正确,B、错误
1385 、使用手提灭火器时，拨掉保险销，握住胶管前端，对准燃烧物根部用力压下压把，灭火剂喷出，就可灭火。,正确,A、正确,B、错误
1386 、仪器设备发生故障后，必须及时报告管理人员，并详细登记。,正确,A、正确,B、错误
1387 、严禁将氯气与氨气混放在一个房间。严禁将氢气与氧气混放在一个房间。严禁将乙炔与氧气混放在一个房间。,正确,A、正确,B、错误
1388 、激光机床工作时，操作者要戴防护眼镜。,正确,A、正确,B、错误
1389 、使用摇臂钻床工作结束时，将横臂降到最低位置，主轴箱靠近主轴，并且要夹紧。,正确,A、正确,B、错误
1390 、易燃、易爆气体和助燃气体（氧气等）可以混放在一起，并靠近热源和火源,错误,A、正确,B、错误
1391 、正在进行实验时，可带着防护手套接听电话。,错误,A、正确,B、错误
1392 、发现实验室楼的配电箱起火，可以用楼内的消火栓放水灭火,错误,A、正确,B、错误
1393 、为避免线路负荷过大，而引起火灾，功率1000瓦以上的设备不得共用一个接线板。,正确,A、正确,B、错误
1394 、氢气的爆炸极限是：4％～75％,正确,A、正确,B、错误
1395 、在扑灭电气火灾的明火时，用气体灭火器扑灭。,正确,A、正确,B、错误
1396 、车削时，应及时用手清除切削产生的带状切屑和螺旋状长切屑。,错误,A、正确,B、错误
1397 、生物类实验室废弃物（包括动物残体等），可以丢弃在普通垃圾箱内。,错误,A、正确,B、错误
1398 、不使用绝缘损坏或接地不良的电器设备。,正确,A、正确,B、错误
1399 、使用电子门禁的大楼和实验室，应对各类人员设置相应的级别，对于门禁卡丢失、人员调动或离校等情况应及时采取措施，办理报失或移交手续。,正确,A、正确,B、错误
1400 、用泡沫灭火剂扑灭油罐火灾时，如果火势很大，有时并不能将火完全扑灭，会发生闷燃引起爆炸,正确,A、正确,B、错误
1401 、操作人员在离开实验室工作区之前以及接触过传染性物质和动物之后必须洗手。,正确,A、正确,B、错误
1402 、放射性废物，经过屏蔽处理后也不可以当作一般垃圾处理。,正确,A、正确,B、错误
1403 、对于触电事故，应立即切断电源或用有绝缘性能的木棍棒挑开和隔绝电流，如果触电者的衣服干燥，又没有紧缠住身上，可以用一只手抓住他的衣服，拉离带电体；但救护人不得接触触电者的皮肤，也不能抓他的鞋。,正确,A、正确,B、错误
1404 、实验室如发现存在安全隐患，要及时向所在学院和实验室负责人、保卫处、实验室处报告，并采取措施进行整改。对安全隐患隐瞒不报或拖延上报的，学校将对相关责任人进行严肃处理。,正确,A、正确,B、错误
1405 、对于容易产生静电的场所，应保持地面潮湿，或者铺设导电性能好的地板。,正确,A、正确,B、错误
1406 、CO急性中毒应立即吸氧，以缓解机体缺氧、排出毒物,正确,A、正确,B、错误
1407 、实验室内应使用空气开关并配备必要的漏电保护器；电气设备应配备足够的用电功率和电线，不得超负荷用电；电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。,正确,A、正确,B、错误
1408 、普通实验室内，不得私自饲养实验动物。,正确,A、正确,B、错误
1409 、一定程度的电场，磁场，电磁场都可能对人有损害。,正确,A、正确,B、错误
1410 、使用手提灭火器时，拨掉保险销，对准着火点根部用力压下压把，灭火剂喷出，就可灭火。,正确,A、正确,B、错误
1411 、使用手提灭火器时，拨掉保险销，对准着火点根部用力压下压把，灭火剂喷出，就可灭火。,正确,A、正确,B、错误
1412 、应增强信息安全的意识，注意保护教学科研活动中实验技术参数、观测数据、实验分析结果及新的科学发现等资料。,正确,A、正确,B、错误
1413 、实验中遇到一般烫伤和烧伤，不要弄破水泡，在伤口处用95%的酒精轻涂伤口，涂上烫伤膏或涂一层凡士林油，再用纱布包扎。,正确,A、正确,B、错误
1414 、2超声波机床工作时可以触摸工具杆。,错误,A、正确,B、错误
1415 、发生各类案件时应立即报案，妥善保护案发现场，若有人受伤，在救人时应尽可能记住现场破坏前的情况（如手机拍照等）。,正确,A、正确,B、错误
1416 、低压设备或做耐压实验的周围栏上可以不用悬挂标示牌。,错误,A、正确,B、错误
1417 、一些低毒、无毒的实验废液可以不经处理，直接由下水道排放。,错误,A、正确,B、错误
1418 、在进行电子线路板焊接后的剪脚工序时，剪脚面应背离身体特别是脸部，防止被剪下引脚弹伤,正确,A、正确,B、错误
1419 、初次进入实验室的操作人员应了解实验室具体的潜在危险，认真阅读、理解安全手册和操作手册。,正确,A、正确,B、错误
1420 、在清洁、维修仪器时，应先断电并确保无人能开启仪器。,正确,A、正确,B、错误
1421 、丙酮、氢氧化钠、氨等具有低毒性,正确,A、正确,B、错误
1422 、在生物化学蛋白电泳实验中，单体丙烯酰胺和甲叉双丙稀酰胺均为神经性毒物，接触皮肤均有吸收，做实验时应格外小心，万一接触，立即用流水冲洗5分钟。,正确,A、正确,B、错误
1423 、在实验室不可配戴隐形眼镜，应使用一般眼镜。,正确,A、正确,B、错误
1424 、宿舍不能随便留宿外来人员。,正确,A、正确,B、错误
1425 、水浴加热的上限温度是100℃，油浴加热的上限温度是200℃，用硅油作介质时可加热到300℃,错误,A、正确,B、错误
1426 、焊接时，必须穿戴好必要的防护用品，如工作服、手套、防护眼镜等。,正确,A、正确,B、错误
1427 、如果可燃液体在容器内燃烧时，应从容器的一侧上部向容器中喷射但注意不能将喷流直接喷射在燃烧液面上，防止灭火剂的冲力将可燃液体冲出容器而扩大火势,正确,A、正确,B、错误
1428 、使用U盘拷贝资料，应先对U盘杀毒，防止病毒感染。,正确,A、正确,B、错误
1429 、室内发生电气火灾，应立即报警然后进行扑救。,错误,A、正确,B、错误
1430 、清洗电动机械时可以不用断开电源。,错误,A、正确,B、错误
1431 、在钻床上钻削小工件，可以直接用手拿，而不必一定使用工具夹持。,错误,A、正确,B、错误
1432 、醋酸蒸汽与空气混合不会在热源的诱发下引起爆炸,错误,A、正确,B、错误
1433 、触电时，不可人去拉（可用木棒把伤员挑开），应立即切断电源，然后先做人工呼吸，再做心脏按压，同时报120送医院进行处理。,正确,A、正确,B、错误
1434 、一定强度的电场，磁场，电磁场都可能对人有损害,正确,A、正确,B、错误
1435 、化学杀菌剂是指用于杀死微生物（包括它们的孢子）的化学品或化学品的混合物。,正确,A、正确,B、错误
1436 、扑救毒害性、腐蚀性或燃烧产物毒害性较强的火灾时，必须配戴防护面具。,正确,A、正确,B、错误
1437 、学生晚上回宿舍时，其在实验室的计算机主机应关闭，显示器一般不用关闭。,错误,A、正确,B、错误
1438 、使用手锯时，安装锯条松紧要适当，拉锯速度不要过快，压力不要过大，以免锯条突然崩断弹出而发生伤人事件。,正确,A、正确,B、错误
1439 、化学类实验室原则上不得使用明火电炉。确须使用明火电炉进行实验的，须向实验室与设备处申报，经审核批准备案后，方可使用。,正确,A、正确,B、错误
1440 、苯乙烯、甲醇、甲苯、二甲苯、三氯乙烯、苯酚等具有中等毒性,正确,A、正确,B、错误
1441 、接临时电源要用合格的电源线，电源插头、插座要安全可靠，损坏的不能使用，电源线接头要用绝缘胶布包好。,正确,A、正确,B、错误
1442 、消防队在扑救火灾时，无权根据灭火的需要，拆除或者破损临近火灾现场的建筑。,错误,A、正确,B、错误
1443 、离心过程中，若听到离心机有异常响声，待离心完成后再停机检查原因。,错误,A、正确,B、错误
1444 、急救时伤口包扎松劲适度，不可过紧或过松，以防滑脱或压迫神经和血管，影响远端血液循环，甚至造成肢体坏死。,正确,A、正确,B、错误
1445 、学生在实验中所用麻醉剂由教师统一配制，未用完的麻醉剂由教师统一处理，学生不得随意丢弃。,正确,A、正确,B、错误
1446 、用水时要禁止跑、冒、滴、漏现象存在。,正确,A、正确,B、错误
1447 、溴（水）是腐蚀性极强的物质，必须在通风柜中操作，并注意安全,正确,A、正确,B、错误
1448 、可以将氢气与氧气混放在一个房间,错误,A、正确,B、错误
1449 、学生晚上回宿舍时，其在实验室的计算机主机应关闭，显示器一般不用关闭。,错误,A、正确,B、错误
1450 、毒物在科研生产中以气体、蒸气、烟、尘、雾等形态存在，其中气体、蒸气为分子状态，可直接进入人体肺泡,正确,A、正确,B、错误
1451 、一氧化碳泄漏，应先施行通风，以驱散一氧化碳气体，并切断一氧化碳泻漏源。,正确,A、正确,B、错误
1452 、在装置汞的仪器下面应放一搪瓷盘，以免不慎将汞洒在地上,正确,A、正确,B、错误
1453 、生物安全柜使用过程中，为了操作方便，应在柜内的前部操作。,错误,A、正确,B、错误
1454 、夏季天气热时可以在实验室工作区穿露有脚趾的鞋。,错误,A、正确,B、错误
"1455 、发生危险化学品事故后,应该向上风方向疏散",正确,A、正确,B、错误
1456 、禁止穿拖鞋、背心、短裤（裙）进入实验室，高跟鞋可以进实验室,错误,A、正确,B、错误
1457 、液体试剂可用洗干净的量筒倒取，不可用吸管伸入原瓶试剂中吸取液体,正确,A、正确,B、错误
1458 、电气设备着火，首先必须采取的措施是灭火。,错误,A、正确,B、错误
1459 、对于重金属盐中毒者，可先喝一杯含有几克MgSO4的水溶液，然后立即就医,正确,A、正确,B、错误
1460 、当有人呼吸系统中毒时，应迅速使中毒者离开现场，移到通风良好的环境，令中毒者呼吸新鲜空气，情况严重者应及时送医院治疗。,正确,A、正确,B、错误
1461 、进入化学、化工类实验室，不必穿工作服。,错误,A、正确,B、错误
1462 、实验室必须配备符合本室要求的消防器材，消防器材要放置在明显或便于拿取的位置。严禁任何人以任何借口把消防器材移作它用。,正确,A、正确,B、错误
1463 、为方便进出专人管理的设备房间，可自行配制钥匙。,错误,A、正确,B、错误
1464 、同位素实验室和使用固定放射源实验室要在明显位置张贴放射警示标志。定期检测放射污染情况，严防射线污染超标。,正确,A、正确,B、错误
1465 、生物污染的液体在排放到生活污水管道之前，必须进行污染清除处理。,正确,A、正确,B、错误
1466 、应避免独自一人在实验室做有危险的实验。,正确,A、正确,B、错误
1467 、微生物实验中，一些受污染或盛过有害细菌和病菌的器皿，如果不再使用，可密封在塑料袋内丢入垃圾桶中。,错误,A、正确,B、错误
1468 、实验室内出现火情逃到室外走廊时，要尽量做到随手关门，这样一来可阻挡火势随人运动而迅速蔓延，增加逃生的有效时间。,正确,A、正确,B、错误
1469 、实验室应配备相应的消防器材。参加实验人员可以不熟悉其存放位置及使用方法。,错误,A、正确,B、错误
1470 、在使用超净台时，勿用酒精棉擦拭超净台上的有机玻璃。,正确,A、正确,B、错误
1471 、强酸灼伤时，必须先用大量流水彻底冲洗，然后在皮肤上擦拭碱性药物，否则会加重皮肤损伤。,正确,A、正确,B、错误
1472 、同位素实验室管理人员有权拒绝未经培训或培训不合格的学生进入同位素室工作，但教师除外。,错误,A、正确,B、错误
1473 、严禁外人在脚踏开关周围停留。,正确,A、正确,B、错误
1474 、使用过的实验服脱下后，不得与日常衣服放在一起，也不得放在洁净区域。,正确,A、正确,B、错误
1475 、对于含氰废液可以进行处理：加入氢氧化钠使pH值10以上，加入过量的高锰酸钾（3%）溶液，使CN根氧化分解。CN根含量高时，可加入过量的次氯酸钙和氢氧化钠溶液,正确,A、正确,B、错误
1476 、上网信息的保密管理坚持“谁上网谁负责”的原则。,正确,A、正确,B、错误
1477 、火灾发生后，千万不要盲目跳楼，可利用疏散楼梯、阳台、窗口等逃生自救。也可用绳子或把床单、被套等撕成条状连成绳索，紧拴在窗框、铁栏杆等可靠的固定物上，用毛巾、布条等保护手心，顺绳滑下，或下到未着火的楼层进行逃生。,正确,A、正确,B、错误
1478 、对高压气体钢瓶要分类保管，直立固定。严禁将氯气与氨气，氢气与氧气，乙炔与氧气混放在一个房间,正确,A、正确,B、错误
1479 、在清洁、维修仪器时，应先断电并确保无人能开启仪器。,正确,A、正确,B、错误
1480 、实验中用到的溴化乙锭（EB）、秋水仙素等致癌物质，实验后可以直接向下水管道或垃圾箱倾倒。,错误,A、正确,B、错误
1481 、急性中毒发生时，救护人员在抢救前要做好自身呼吸系统和皮肤的防护，以免自身中毒、使事故扩大,正确,A、正确,B、错误
1482 、单位消防安全制度主要包括以下内容：消防安全教育、培训；防火巡查、检查；安全疏散设施管理；消防（控制室）值班；消防设施、器材维护管理；火灾隐患整改；用火、用电安全管理；易燃易爆危险物品和场所防火防爆；专职和义务消防队的组织管理；灭火和应急疏散预案演练；燃气和电气的检查管理（包括防雷、防静电）；消防安全工作考评和奖惩；其他必要的消防安全内容。,正确,A、正确,B、错误
1483 、在试验设备工作期间，可以离开去学习一会儿。,错误,A、正确,B、错误
1484 、实验室的接线板远离可能有水的位置和高温环境。,正确,A、正确,B、错误
1485 、下班离开实验室前应关闭设备关水关电。,正确,A、正确,B、错误
1486 、实验进行前要了解实验仪器的使用说明及注意事项，实验过程中要严格按照操作规程进行操作。,正确,A、正确,B、错误
1487 、发现有人触电，应立即切断电源，不能直接拉触电者，应用木棒或其它绝缘物将人与带电体分离,正确,A、正确,B、错误
1488 、可以将无毒无害试剂当作有毒有害试剂处理。,错误,A、正确,B、错误
1489 、实验结束，离开实验室时要检查水、电、和门窗，确保安全。,正确,A、正确,B、错误
1490 、能相互反应产生有毒气体的废液，不得倒入同一收集桶中。若某种废液倒入收集桶会发生危险，则应单独暂存于一容器中，并贴上标签,正确,A、正确,B、错误
